,name_buy,link_buy,price_buy,seller_buy,year_buy,body_buy,mileage_buy,engine_buy,BHP_buy,transmission_buy,fuel_buy,owners_buy,brand_buy,postcode_buy
0,Ford Focus,https://www.autotrader.co.uk/car-details/202303175342594,1250,5.0 (21 reviews) buckingham (8 miles),2010.0,Hatchback,107000.0,1.6,99.0,Manual,Petrol,2.0,Ford,MK3 6JS
1,Volkswagen Golf,https://www.autotrader.co.uk/car-details/202303305802517,2000,4.9 (28 reviews) leighton buzzard (9 miles),2010.0,Hatchback,148000.0,2.0,,Manual,Diesel,5.0,Volkswagen,MK3 6JS
2,Vauxhall Corsa,https://www.autotrader.co.uk/car-details/202303295749400,2490,4.8 (118 reviews) bedford (7 miles),2010.0,Hatchback,88000.0,1.2,84.0,Manual,Petrol,,Vauxhall,MK3 6JS
3,Saab 9-3,https://www.autotrader.co.uk/car-details/202305036969546,1595,4.8 (181 reviews) bedford (13 miles),2010.0,Saloon,101000.0,1.9,,Manual,Diesel,4.0,Saab,MK3 6JS
4,Volkswagen Passat,https://www.autotrader.co.uk/car-details/202303225515819,3999,4.3 (12 reviews) leighton buzzard (9 miles),2010.0,Saloon,99000.0,2.0,138.0,Manual,Diesel,,Volkswagen,MK3 6JS
5,KIA RIO,https://www.autotrader.co.uk/car-details/202305247724722,2490,4.7 (340 reviews) milton keynes (6 miles),2010.0,Hatchback,82000.0,1.5,108.0,Manual,Diesel,,KIA,MK3 6JS
6,Vauxhall Astra,https://www.autotrader.co.uk/car-details/202305257784265,2000,3.0 (2 reviews) luton (18 miles),2010.0,Hatchback,109586.0,1.4,89.0,Manual,Petrol,3.0,Vauxhall,MK3 6JS
7,Vauxhall Astra,https://www.autotrader.co.uk/car-details/202305257788540,1990,bedford (15 miles),2010.0,Hatchback,115500.0,1.6,,Manual,Petrol,6.0,Vauxhall,MK3 6JS
8,Renault Clio,https://www.autotrader.co.uk/car-details/202303155258004,1559,3.7 (61 reviews) milton keynes (7 miles),2010.0,Hatchback,125676.0,1.2,,Manual,Petrol,4.0,Renault,MK3 6JS
9,Ford Focus,https://www.autotrader.co.uk/car-details/202302244613843,1990,4.6 (29 reviews) luton (15 miles),2010.0,Hatchback,148000.0,1.6,108.0,Manual,Diesel,,Ford,MK3 6JS
10,Citroen C4 Picasso,https://www.autotrader.co.uk/car-details/202303215475127,995,5.0 (4 reviews) tring (13 miles),2010.0,MPV,175948.0,1.6,,Automatic,Diesel,3.0,Citroen,MK3 6JS
11,Vauxhall Astra,https://www.autotrader.co.uk/car-details/202305187522720,2995,4.5 (26 reviews) bedford (15 miles),2010.0,Hatchback,87643.0,1.6,,Manual,Petrol,3.0,Vauxhall,MK3 6JS
12,Peugeot 308 SW,https://www.autotrader.co.uk/car-details/202303295764911,2600,4.9 (28 reviews) leighton buzzard (9 miles),2010.0,Estate,83880.0,1.6,120.0,Automatic,Petrol,2.0,Peugeot,MK3 6JS
13,Ford Mondeo,https://www.autotrader.co.uk/car-details/202305157381350,1395,4.9 (48 reviews) aylesbury (17 miles),2010.0,Hatchback,174000.0,2.0,,Manual,Diesel,7.0,Ford,MK3 6JS
14,Ford Fiesta,https://www.autotrader.co.uk/car-details/202305167437576,1650,towcester (19 miles),2010.0,Hatchback,195066.0,1.4,67.0,Manual,Diesel,3.0,Ford,MK3 6JS
15,Mitsubishi ASX,https://www.autotrader.co.uk/car-details/202305107224065,3790,4.7 (340 reviews) milton keynes (6 miles),2010.0,SUV,111000.0,1.8,,Manual,Diesel,,Mitsubishi,MK3 6JS
16,Renault Clio,https://www.autotrader.co.uk/car-details/202305117238465,1695,5.0 (1 review) northampton (17 miles),2010.0,Hatchback,115963.0,1.5,,Manual,Diesel,2.0,Renault,MK3 6JS
17,Volkswagen Polo,https://www.autotrader.co.uk/car-details/202303165306607,2999,3.8 (34 reviews) leighton buzzard (9 miles),2010.0,Hatchback,133700.0,1.2,,Manual,Petrol,,Volkswagen,MK3 6JS
18,Renault Grand Scenic,https://www.autotrader.co.uk/car-details/202303034879973,1790,4.0 (4 reviews) luton (15 miles),2010.0,MPV,111000.0,1.5,,Manual,Diesel,3.0,Renault,MK3 6JS
19,SKODA Octavia,https://www.autotrader.co.uk/car-details/202305187522647,2599,4.3 (12 reviews) leighton buzzard (9 miles),2010.0,Hatchback,108500.0,1.6,103.0,Manual,Diesel,,SKODA,MK3 6JS
20,Ford KA,https://www.autotrader.co.uk/car-details/202212302850722,2500,4.9 (259 reviews),2010.0,Hatchback,87526.0,1.3,,Manual,Diesel,,Ford,MK3 6JS
21,Peugeot 207,https://www.autotrader.co.uk/car-details/202304086102153,1995,4.8 (22 reviews) luton (17 miles),2010.0,Hatchback,88400.0,1.4,,Manual,Petrol,,Peugeot,MK3 6JS
22,Renault Clio,https://www.autotrader.co.uk/car-details/202304056006381,1550,3.0 (2 reviews) luton (15 miles),2010.0,Hatchback,104862.0,1.2,,Manual,Petrol,5.0,Renault,MK3 6JS
23,Peugeot 308,https://www.autotrader.co.uk/car-details/202303185381243,2195,4.2 (24 reviews) bedford (14 miles),2010.0,Hatchback,87455.0,1.6,90.0,Manual,Diesel,,Peugeot,MK3 6JS
24,Ford Focus,https://www.autotrader.co.uk/car-details/202302154284713,2100,4.8 (22 reviews) luton (17 miles),2010.0,Hatchback,126600.0,1.6,99.0,Manual,Petrol,3.0,Ford,MK3 6JS
25,Peugeot 308,https://www.autotrader.co.uk/car-details/202305217631434,1999,5.0 (1 review) northampton (17 miles),2010.0,Hatchback,87463.0,1.6,90.0,Manual,Diesel,,Peugeot,MK3 6JS
26,BMW 3 Series,https://www.autotrader.co.uk/car-details/202303085018351,5559,3.7 (61 reviews) milton keynes (7 miles),2010.0,Coupe,72814.0,2.0,,Manual,Diesel,4.0,BMW,MK3 6JS
27,Nissan Note,https://www.autotrader.co.uk/car-details/202303275659061,2390,4.8 (118 reviews) bedford (7 miles),2010.0,Hatchback,100000.0,1.5,,Manual,Diesel,,Nissan,MK3 6JS
28,Suzuki Alto,https://www.autotrader.co.uk/car-details/202304266682025,2500,4.6 (12 reviews) milton keynes (5 miles),2010.0,Hatchback,49107.0,1.0,,Manual,Petrol,4.0,Suzuki,MK3 6JS
29,Mazda2,https://www.autotrader.co.uk/car-details/202303155279081,3000,4.1 (44 reviews) milton keynes (1 mile),2010.0,Hatchback,96150.0,1.3,,Manual,Petrol,2.0,Mazda2,MK3 6JS
30,KIA Ceed,https://www.autotrader.co.uk/car-details/202305157400490,3990,4.7 (340 reviews) milton keynes (6 miles),2010.0,Estate,65000.0,1.6,,Manual,Diesel,,KIA,MK3 6JS
31,MINI Hatch,https://www.autotrader.co.uk/car-details/202304056007791,2990,3.0 (2 reviews) luton (15 miles),2010.0,Hatchback,108557.0,1.6,,Manual,Petrol,,MINI,MK3 6JS
32,Vauxhall Corsa,https://www.autotrader.co.uk/car-details/202302274673410,3198,5.0 (17 reviews) milton keynes (2 miles),2010.0,Hatchback,69591.0,1.2,83.0,Manual,Petrol,,Vauxhall,MK3 6JS
33,Citroen C5,https://www.autotrader.co.uk/car-details/202304276750437,1999,4.6 (66 reviews) bedford (17 miles),2010.0,Estate,125491.0,1.6,110.0,Manual,Diesel,4.0,Citroen,MK3 6JS
34,Renault Scenic,https://www.autotrader.co.uk/car-details/202209099590633,1990,4.7 (340 reviews) milton keynes (6 miles),2010.0,MPV,111000.0,1.5,,Manual,Diesel,,Renault,MK3 6JS
35,Renault Clio,https://www.autotrader.co.uk/car-details/202212122456787,2650,4.4 (14 reviews) leighton buzzard (9 miles),2010.0,Hatchback,74210.0,1.2,,Manual,Petrol,6.0,Renault,MK3 6JS
36,Volkswagen EOS,https://www.autotrader.co.uk/car-details/202304146291679,4795,4.5 (8 reviews) luton (15 miles),2010.0,Convertible,72971.0,2.0,,Manual,Diesel,3.0,Volkswagen,MK3 6JS
37,SEAT Ibiza,https://www.autotrader.co.uk/car-details/202304136257712,4899,milton keynes (10 miles),2010.0,Hatchback,48000.0,1.4,,Manual,Petrol,,SEAT,MK3 6JS
38,Vauxhall Corsa,https://www.autotrader.co.uk/car-details/202305047021296,2295,5.0 (1 review) northampton (17 miles),2010.0,Hatchback,92208.0,1.2,84.0,Manual,Petrol,4.0,Vauxhall,MK3 6JS
39,Audi A3,https://www.autotrader.co.uk/car-details/202305197556149,3895,4.8 (45 reviews) dunstable (13 miles),2010.0,Hatchback,101000.0,1.4,,Manual,Petrol,,Audi,MK3 6JS
40,Ford Mondeo,https://www.autotrader.co.uk/car-details/202305107211186,3750,4.7 (124 reviews),2010.0,Hatchback,88000.0,2.0,138.0,Manual,Diesel,,Ford,MK3 6JS
41,Vauxhall Meriva,https://www.autotrader.co.uk/car-details/202305026912234,1709,3.7 (61 reviews) milton keynes (7 miles),2010.0,MPV,77212.0,1.4,89.0,Manual,Petrol,4.0,Vauxhall,MK3 6JS
42,Renault Clio,https://www.autotrader.co.uk/car-details/202305036967208,3190,4.7 (118 reviews) milton keynes (4 miles),2010.0,Hatchback,99388.0,1.6,,Manual,Petrol,3.0,Renault,MK3 6JS
43,KIA Ceed,https://www.autotrader.co.uk/car-details/202305036959578,1995,4.8 (22 reviews) luton (17 miles),2010.0,Estate,133400.0,1.6,,Manual,Diesel,,KIA,MK3 6JS
44,Hyundai ix35,https://www.autotrader.co.uk/car-details/202304015868869,3650,3.0 (2 reviews) luton (15 miles),2010.0,SUV,105001.0,2.0,,Manual,Diesel,2.0,Hyundai,MK3 6JS
45,Hyundai i10,https://www.autotrader.co.uk/car-details/202305227656268,2990,4.8 (118 reviews) bedford (7 miles),2010.0,Hatchback,77000.0,1.2,,Manual,Petrol,,Hyundai,MK3 6JS
46,Vauxhall Corsa,https://www.autotrader.co.uk/car-details/202302224543160,2500,4.5 (16 reviews) luton (17 miles),2010.0,Hatchback,95000.0,1.2,84.0,Manual,Petrol,,Vauxhall,MK3 6JS
47,Vauxhall Corsa,https://www.autotrader.co.uk/car-details/202304076072496,2450,4.1 (45 reviews) bedford (13 miles),2010.0,Hatchback,82107.0,1.2,84.0,Manual,Petrol,,Vauxhall,MK3 6JS
48,Volvo S40,https://www.autotrader.co.uk/car-details/202305107217030,2999,3.8 (155 reviews) shefford (16 miles),2010.0,Saloon,94534.0,1.6,,Manual,Diesel,,Volvo,MK3 6JS
49,Ford C-Max,https://www.autotrader.co.uk/car-details/202305227661888,2499,4.6 (34 reviews) milton keynes (7 miles),2010.0,MPV,114232.0,1.6,,Manual,Diesel,,Ford,MK3 6JS
50,Peugeot 3008,https://www.autotrader.co.uk/car-details/202211151690496,1999,4.5 (209 reviews) northampton (20 miles),2010.0,SUV,126000.0,2.0,,Manual,Diesel,,Peugeot,MK3 6JS
51,Ford KA,https://www.autotrader.co.uk/car-details/202305087130599,2359,3.7 (61 reviews) milton keynes (7 miles),2010.0,Hatchback,102000.0,1.2,,Manual,Petrol,4.0,Ford,MK3 6JS
52,Audi A4,https://www.autotrader.co.uk/car-details/202305036935019,7495,3.8 (155 reviews) shefford (16 miles),2010.0,Estate,54321.0,2.0,,Manual,Diesel,,Audi,MK3 6JS
53,Vauxhall Corsa,https://www.autotrader.co.uk/car-details/202304066039142,2495,4.6 (10 reviews) northampton (15 miles),2010.0,Hatchback,117532.0,1.7,123.0,Manual,Diesel,8.0,Vauxhall,MK3 6JS
54,Peugeot 207,https://www.autotrader.co.uk/car-details/202305137340083,2490,4.5 (16 reviews) towcester (18 miles),2010.0,Hatchback,83200.0,1.4,,Manual,Petrol,4.0,Peugeot,MK3 6JS
55,Peugeot 3008,https://www.autotrader.co.uk/car-details/202305267803124,3199,4.3 (12 reviews) leighton buzzard (9 miles),2010.0,SUV,90500.0,1.6,110.0,Manual,Diesel,,Peugeot,MK3 6JS
