,name_buy,link_buy,price_buy,seller_buy,year_buy,body_buy,mileage_buy,engine_buy,BHP_buy,transmission_buy,fuel_buy,owners_buy,brand_buy,postcode_buy
0,Toyota Aygo,https://www.autotrader.co.uk/car-details/202305127312415,1600,4.9 (184 reviews) newcastle upon tyne (5 miles),2006,Hatchback,71077,1.0,67.0,Manual,Petrol,,Toyota,NE1 5XE
1,Saab 9-3,https://www.autotrader.co.uk/car-details/202304256660725,1790,5.0 (5 reviews) wallsend (4 miles),2006,Saloon,125000,2.0,150.0,Manual,Petrol,6.0,Saab,NE1 5XE
2,Nissan Note,https://www.autotrader.co.uk/car-details/202305197545662,999,ryton (7 miles),2006,Hatchback,95381,1.4,87.0,Manual,Petrol,5.0,Nissan,NE1 5XE
3,Ford Focus,https://www.autotrader.co.uk/car-details/202302023862510,2000,4.7 (34 reviews) hebburn (4 miles),2006,Hatchback,82088,1.6,99.0,Manual,Petrol,3.0,Ford,NE1 5XE
4,Toyota Yaris,https://www.autotrader.co.uk/car-details/202305067084138,1000,newcastle upon tyne (3 miles),2006,Hatchback,153000,1.3,85.0,Manual,Petrol,2.0,Toyota,NE1 5XE
5,Nissan Micra,https://www.autotrader.co.uk/car-details/202303235552977,1875,4.9 (223 reviews) newcastle upon tyne (6 miles),2007,Hatchback,87126,1.2,79.0,Manual,Petrol,,Nissan,NE1 5XE
6,Renault Megane,https://www.autotrader.co.uk/car-details/202305237705289,1975,newcastle upon tyne (3 miles),2007,Convertible,63000,1.6,111.0,Manual,Petrol,3.0,Renault,NE1 5XE
7,Nissan Micra,https://www.autotrader.co.uk/car-details/202305187531153,890,5.0 (46 reviews) gateshead (2 miles),2007,Hatchback,148000,1.2,79.0,Manual,Petrol,,Nissan,NE1 5XE
8,Vauxhall Zafira,https://www.autotrader.co.uk/car-details/202305267826445,1799,3.4 (48 reviews) newcastle upon tyne (3 miles),2007,MPV,104000,1.6,,Manual,Petrol,,Vauxhall,NE1 5XE
9,Citroen Xsara Picasso,https://www.autotrader.co.uk/car-details/202305217616198,1750,prudhoe (10 miles),2007,MPV,74734,1.6,110.0,Manual,Petrol,2.0,Citroen,NE1 5XE
10,Vauxhall Meriva,https://www.autotrader.co.uk/car-details/202305277842906,650,4.9 (184 reviews) newcastle upon tyne (5 miles),2008,MPV,116139,1.4,90.0,Manual,Petrol,,Vauxhall,NE1 5XE
11,MINI Hatch,https://www.autotrader.co.uk/car-details/202302244581090,799,5.0 (53 reviews) newcastle upon tyne (2 miles),2008,Hatchback,117000,1.4,,Manual,Petrol,,MINI,NE1 5XE
12,Citroen C1,https://www.autotrader.co.uk/car-details/202304246610984,1400,4.9 (184 reviews) newcastle upon tyne (5 miles),2008,Hatchback,82500,1.0,67.0,Manual,Petrol,,Citroen,NE1 5XE
13,Nissan Note,https://www.autotrader.co.uk/car-details/202304206485309,1500,4.9 (184 reviews) newcastle upon tyne (5 miles),2008,Hatchback,87000,1.4,87.0,Manual,Petrol,,Nissan,NE1 5XE
14,Audi A4,https://www.autotrader.co.uk/car-details/202305117248235,1750,sunderland (10 miles),2008,Saloon,189000,2.0,,Manual,Diesel,,Audi,NE1 5XE
15,Ford Fiesta,https://www.autotrader.co.uk/car-details/202305227660982,1375,sunderland (10 miles),2008,Hatchback,73098,,74.0,Manual,Petrol,4.0,Ford,NE1 5XE
16,Renault Twingo,https://www.autotrader.co.uk/car-details/202304035919650,1695,4.7 (34 reviews) hebburn (4 miles),2008,Hatchback,78492,1.2,,Manual,Petrol,5.0,Renault,NE1 5XE
17,Vauxhall Corsa,https://www.autotrader.co.uk/car-details/202305087128197,999,5.0 (27 reviews) newcastle upon tyne (2 miles),2008,Hatchback,60000,1.0,59.0,Manual,Petrol,2.0,Vauxhall,NE1 5XE
18,MINI Hatch,https://www.autotrader.co.uk/car-details/202304236581172,1999,3.4 (48 reviews) newcastle upon tyne (3 miles),2008,Hatchback,118000,1.6,,Manual,Petrol,,MINI,NE1 5XE
19,SEAT Altea Xl,https://www.autotrader.co.uk/car-details/202304176384310,1300,newcastle upon tyne (5 miles),2009,MPV,114000,2.0,,Automatic,Diesel,8.0,SEAT,NE1 5XE
20,Ford C-Max,https://www.autotrader.co.uk/car-details/202207268165616,2000,washington (5 miles),2009,MPV,105000,1.8,113.0,Manual,Diesel,3.0,Ford,NE1 5XE
