,name_sell,link_sell,price_sell,seller_sell,year_sell,body_sell,mileage_sell,engine_sell,BHP_sell,transmission_sell,fuel_sell,owners_sell,brand_sell,postcode_sell
0,Vauxhall Corsa,https://www.autotrader.co.uk/car-details/202305177463278,1195,high wycombe (16 miles),2006.0,Hatchback,90000.0,1.2,79.0,Manual,Petrol,7.0,Vauxhall,UB7 0AW
1,Renault Modus,https://www.autotrader.co.uk/car-details/202305177496925,1485,4.5 (246 reviews) acton (10 miles),2006.0,Hatchback,98000.0,1.6,110.0,Automatic,Petrol,4.0,Renault,UB7 0AW
2,Ford Focus,https://www.autotrader.co.uk/car-details/202305257779124,995,great missenden (17 miles),2006.0,Hatchback,125348.0,2.5,221.0,Manual,Petrol,15.0,Ford,UB7 0AW
3,Ford Focus,https://www.autotrader.co.uk/car-details/202304166331628,1580,5.0 (16 reviews) west drayton (1 mile),2006.0,Hatchback,69000.0,1.6,99.0,Manual,Petrol,,Ford,UB7 0AW
4,Fiat Grande Punto,https://www.autotrader.co.uk/car-details/202211221903727,1799,hanwell (7 miles),2006.0,Hatchback,34000.0,1.2,65.0,Manual,Petrol,3.0,Fiat,UB7 0AW
5,Toyota Corolla,https://www.autotrader.co.uk/car-details/202305197570815,1500,3.5 (4 reviews) enfield (21 miles),2006.0,Hatchback,74000.0,1.6,109.0,Manual,Petrol,3.0,Toyota,UB7 0AW
6,Peugeot 407,https://www.autotrader.co.uk/car-details/202305197543255,995,egham (5 miles),2006.0,Coupe,131627.0,2.7,205.0,Automatic,Diesel,3.0,Peugeot,UB7 0AW
7,Ford Focus,https://www.autotrader.co.uk/car-details/202305227653349,650,brixton (16 miles),2006.0,Hatchback,101667.0,1.6,99.0,Automatic,Petrol,5.0,Ford,UB7 0AW
8,Audi A6 Saloon,https://www.autotrader.co.uk/car-details/202305267821798,1000,woking (10 miles),2006.0,Saloon,230000.0,2.0,168.0,Manual,Petrol,,Audi,UB7 0AW
9,Mazda3,https://www.autotrader.co.uk/car-details/202305227663540,1995,4.9 (71 reviews) leytonstone (22 miles),2006.0,Hatchback,84000.0,2.0,147.0,Manual,Petrol,,Mazda3,UB7 0AW
10,Peugeot 206 SW,https://www.autotrader.co.uk/car-details/202303315834459,1890,hanwell (7 miles),2006.0,Estate,51000.0,1.4,75.0,Manual,Petrol,,Peugeot,UB7 0AW
