,name_buy,price_buy,price_sell,postcode_buy,link_buy,postcode_sell,link_sell,mileage_buy,mileage_sell,engine_buy,engine_sell,buy_score,score_by_brand,score_by_name
6717,Citroen Grand C4 Picasso,5290,8777,MK3 6JS,https://www.autotrader.co.uk/car-details/202305047011398,DT2 7LU,https://www.autotrader.co.uk/car-details/202305147362817,123900.0,73807.0,1.6,1.6,2077.1994269572233,416.30676721031426,933.591264553687
10486,Citroen C1,4295,6990,MK3 6JS,https://www.autotrader.co.uk/car-details/202304286780632,DT2 7LU,https://www.autotrader.co.uk/car-details/202305057040735,65745.0,48000.0,1.0,1.0,1967.6020990189368,416.30676721031426,677.7478629675197
5161,Citroen C4 Picasso,5750,9050,MK3 6JS,https://www.autotrader.co.uk/car-details/202304055992182,DT2 7LU,https://www.autotrader.co.uk/car-details/202305157403548,73185.0,38467.0,1.6,1.6,1734.5234679237549,416.30676721031426,-468.41801701039344
5580,Citroen DS3,4990,7499,MK3 6JS,https://www.autotrader.co.uk/car-details/202303255618594,DT2 7LU,https://www.autotrader.co.uk/car-details/202303034851777,59892.0,39843.0,1.6,1.6,1669.1058405129234,416.30676721031426,334.4031870987111
6718,Citroen Grand C4 Picasso,5290,9990,MK3 6JS,https://www.autotrader.co.uk/car-details/202305047011398,DT2 7LU,https://www.autotrader.co.uk/car-details/202304256637841,123900.0,44000.0,1.6,1.6,1669.08797417272,416.30676721031426,933.591264553687
10505,Citroen C4 Picasso,6995,9650,MK3 6JS,https://www.autotrader.co.uk/car-details/202304056007134,DT2 7LU,https://www.autotrader.co.uk/car-details/202304256673353,99405.0,48048.0,2.0,1.6,1604.1376188320507,416.30676721031426,-468.41801701039344
10490,Citroen C1,4295,6990,MK3 6JS,https://www.autotrader.co.uk/car-details/202304286780632,DT2 7LU,https://www.autotrader.co.uk/car-details/202303235535530,65745.0,39000.0,1.0,1.0,1598.6767054528862,416.30676721031426,677.7478629675197
10491,Citroen C1,4295,6990,MK3 6JS,https://www.autotrader.co.uk/car-details/202304286780632,DT2 7LU,https://www.autotrader.co.uk/car-details/202301273672100,65745.0,44000.0,1.0,1.2,1503.0293811950214,416.30676721031426,677.7478629675197
8495,Citroen DS3,4200,6990,MK3 6JS,https://www.autotrader.co.uk/car-details/202305207599615,DT2 7LU,https://www.autotrader.co.uk/car-details/202305107211668,88228.0,47000.0,1.2,1.2,1486.26286439679,416.30676721031426,334.4031870987111
4212,Citroen DS3,2499,6295,MK3 6JS,https://www.autotrader.co.uk/car-details/202305117276034,DT2 7LU,https://www.autotrader.co.uk/car-details/202303275655644,125000.0,48700.0,1.6,1.6,1478.9216,416.30676721031426,334.4031870987111
4210,Citroen DS3,2499,5495,MK3 6JS,https://www.autotrader.co.uk/car-details/202305117276034,DT2 7LU,https://www.autotrader.co.uk/car-details/202304146276454,125000.0,58000.0,1.6,1.6,1390.144,416.30676721031426,334.4031870987111
10498,Citroen C4 Cactus,7750,9650,MK3 6JS,https://www.autotrader.co.uk/car-details/202305187507546,DT2 7LU,https://www.autotrader.co.uk/car-details/202304256673730,67327.0,36539.0,1.6,1.2,1374.8639723538356,416.30676721031426,319.2376486966753
10487,Citroen C1,4295,5995,MK3 6JS,https://www.autotrader.co.uk/car-details/202304286780632,DT2 7LU,https://www.autotrader.co.uk/car-details/202304176358141,65745.0,51000.0,1.0,1.0,1318.731462468629,416.30676721031426,677.7478629675197
6300,Citroen C1,4495,6699,MK3 6JS,https://www.autotrader.co.uk/car-details/202209250085858,DT2 7LU,https://www.autotrader.co.uk/car-details/202305237680537,61122.0,35863.0,1.0,1.0,1293.1849743136677,416.30676721031426,677.7478629675197
