,name_buy,price_buy,price_sell,postcode_buy,link_buy,postcode_sell,link_sell,mileage_buy,mileage_sell,engine_buy,engine_sell,buy_score,score_by_brand,score_by_name
9500,Ford Fiesta,6194,9990,MK3 6JS,https://www.autotrader.co.uk/car-details/202303014756018,DT2 7LU,https://www.autotrader.co.uk/car-details/202304126195609,38000.0,55857.0,1.6,1.0,8927.712505263158,700.7899306686566,752.994263020137
9503,Ford Fiesta,6194,10000,MK3 6JS,https://www.autotrader.co.uk/car-details/202303014756018,DT2 7LU,https://www.autotrader.co.uk/car-details/202304066034834,38000.0,47319.0,1.6,1.0,7582.99427368421,700.7899306686566,752.994263020137
9499,Ford Fiesta,6194,8899,MK3 6JS,https://www.autotrader.co.uk/car-details/202303014756018,DT2 7LU,https://www.autotrader.co.uk/car-details/202305247715668,38000.0,57584.0,1.6,1.0,6558.514526315789,700.7899306686566,752.994263020137
1454,Ford C-Max,2500,5045,MK3 6JS,https://www.autotrader.co.uk/car-details/202304266710264,DT2 7LU,https://www.autotrader.co.uk/car-details/202305177489031,79124.0,100600.0,2.0,1.0,6471.538344876397,700.7899306686566,958.7159797403674
6389,Ford Fiesta,6594,9200,MK3 6JS,https://www.autotrader.co.uk/car-details/202208068522465,DT2 7LU,https://www.autotrader.co.uk/car-details/202305057062835,40000.0,60380.0,1.5,1.0,5900.6355,700.7899306686566,752.994263020137
9472,Ford Fiesta,6559,9990,MK3 6JS,https://www.autotrader.co.uk/car-details/202303215460984,DT2 7LU,https://www.autotrader.co.uk/car-details/202304126195609,59800.0,55857.0,1.6,1.0,5127.635237458195,700.7899306686566,752.994263020137
1838,Ford Fiesta,3249,6550,MK3 6JS,https://www.autotrader.co.uk/car-details/202305117278005,DT2 7LU,https://www.autotrader.co.uk/car-details/202305127296110,46000.0,73000.0,1.4,1.6,4583.72554347826,700.7899306686566,752.994263020137
9497,Ford Fiesta,6194,9789,MK3 6JS,https://www.autotrader.co.uk/car-details/202303014756018,DT2 7LU,https://www.autotrader.co.uk/car-details/202305237697291,38000.0,30213.0,1.6,1.0,4573.294105263159,700.7899306686566,752.994263020137
8763,Ford Focus,7999,9975,MK3 6JS,https://www.autotrader.co.uk/car-details/202305057036337,DT2 7LU,https://www.autotrader.co.uk/car-details/202305046993910,26520.0,64750.0,1.5,1.6,4522.977941176471,700.7899306686566,637.7089919084352
8759,Ford Focus,7999,9995,MK3 6JS,https://www.autotrader.co.uk/car-details/202305057036337,DT2 7LU,https://www.autotrader.co.uk/car-details/202305087147357,26520.0,63000.0,1.5,1.6,4445.277149321267,700.7899306686566,637.7089919084352
