,name_buy,price_buy,price_sell,postcode_buy,link_buy,postcode_sell,link_sell,mileage_buy,mileage_sell,engine_buy,engine_sell,buy_score,score_by_brand,score_by_name
214,Vauxhall Corsa,500,1789,M90 1QX,https://www.autotrader.co.uk/car-details/202305237691321,UB7 0AW,https://www.autotrader.co.uk/car-details/202305026924071,75000,115000,1.0,1.2,1647.0555555555557,220.12650566748772,462.26163665146714
220,Vauxhall Corsa,500,1899,M90 1QX,https://www.autotrader.co.uk/car-details/202305237691321,UB7 0AW,https://www.autotrader.co.uk/car-details/202304176365584,75000,87000,1.0,1.2,1352.3666666666666,220.12650566748772,462.26163665146714
219,Vauxhall Corsa,500,1990,M90 1QX,https://www.autotrader.co.uk/car-details/202305237691321,UB7 0AW,https://www.autotrader.co.uk/car-details/202305207599788,75000,80000,1.0,1.2,1324.4444444444443,220.12650566748772,462.26163665146714
216,Vauxhall Corsa,500,1990,M90 1QX,https://www.autotrader.co.uk/car-details/202305237691321,UB7 0AW,https://www.autotrader.co.uk/car-details/202305207599788,75000,80000,1.0,1.2,1324.4444444444443,220.12650566748772,462.26163665146714
215,Vauxhall Corsa,500,1950,M90 1QX,https://www.autotrader.co.uk/car-details/202305237691321,UB7 0AW,https://www.autotrader.co.uk/car-details/202305047018003,75000,77000,1.0,1.2,1240.5555555555554,220.12650566748772,462.26163665146714
217,Vauxhall Corsa,500,1789,M90 1QX,https://www.autotrader.co.uk/car-details/202305237691321,UB7 0AW,https://www.autotrader.co.uk/car-details/202305207599393,75000,100000,1.0,1.4,1227.6190476190475,220.12650566748772,462.26163665146714
213,Vauxhall Corsa,500,1898,M90 1QX,https://www.autotrader.co.uk/car-details/202305237691321,UB7 0AW,https://www.autotrader.co.uk/car-details/202305247732059,75000,88329,1.0,1.4,1176.037542857143,220.12650566748772,462.26163665146714
223,Vauxhall Corsa,500,1550,M90 1QX,https://www.autotrader.co.uk/car-details/202305237691321,UB7 0AW,https://www.autotrader.co.uk/car-details/202305026897065,75000,115140,1.0,1.4,1151.3999999999999,220.12650566748772,462.26163665146714
212,Vauxhall Corsa,500,1698,M90 1QX,https://www.autotrader.co.uk/car-details/202305237691321,UB7 0AW,https://www.autotrader.co.uk/car-details/202304136241426,75000,68181,1.0,1.0,1089.07784,220.12650566748772,462.26163665146714
218,Vauxhall Corsa,500,1750,M90 1QX,https://www.autotrader.co.uk/car-details/202305237691321,UB7 0AW,https://www.autotrader.co.uk/car-details/202305177477240,75000,78200,1.0,1.2,1086.111111111111,220.12650566748772,462.26163665146714
222,Vauxhall Corsa,500,1899,M90 1QX,https://www.autotrader.co.uk/car-details/202305237691321,UB7 0AW,https://www.autotrader.co.uk/car-details/202305036958021,75000,81250,1.0,1.4,1082.5595238095239,220.12650566748772,462.26163665146714
255,Vauxhall Corsa,1295,1975,M90 1QX,https://www.autotrader.co.uk/car-details/202305277854276,UB7 0AW,https://www.autotrader.co.uk/car-details/202211221904009,70000,85000,1.2,1.0,990.8571428571428,220.12650566748772,462.26163665146714
59,Renault Megane,1495,1995,M90 1QX,https://www.autotrader.co.uk/car-details/202305207581833,UB7 0AW,https://www.autotrader.co.uk/car-details/202301123188623,56000,83800,1.6,1.4,855.1020408163266,285.9524991609024,350.0162706293547
224,Vauxhall Corsa,500,1695,M90 1QX,https://www.autotrader.co.uk/car-details/202305237691321,UB7 0AW,https://www.autotrader.co.uk/car-details/202305257774335,75000,64000,1.0,1.2,849.7777777777778,220.12650566748772,462.26163665146714
254,Vauxhall Corsa,1295,1990,M90 1QX,https://www.autotrader.co.uk/car-details/202305277854276,UB7 0AW,https://www.autotrader.co.uk/car-details/202305227658170,70000,85000,1.2,1.2,843.9285714285713,220.12650566748772,462.26163665146714
221,Vauxhall Corsa,500,1999,M90 1QX,https://www.autotrader.co.uk/car-details/202305237691321,UB7 0AW,https://www.autotrader.co.uk/car-details/202305267827656,75000,59000,1.0,1.4,842.2952380952381,220.12650566748772,462.26163665146714
4,Ford Fiesta,800,1795,M90 1QX,https://www.autotrader.co.uk/car-details/202303165316186,UB7 0AW,https://www.autotrader.co.uk/car-details/202301303753842,131900,94000,1.6,1.4,810.397487273909,78.64065596912889,101.71230955234792
61,Renault Megane,1495,1789,M90 1QX,https://www.autotrader.co.uk/car-details/202305207581833,UB7 0AW,https://www.autotrader.co.uk/car-details/202304206497471,56000,142765,1.6,1.6,749.51625,285.9524991609024,350.0162706293547
302,Vauxhall Astra,1000,1999,M90 1QX,https://www.autotrader.co.uk/car-details/202305267827641,UB7 0AW,https://www.autotrader.co.uk/car-details/202302274700218,108000,88000,1.4,1.6,712.2499999999999,220.12650566748772,136.54419573766478
5,Ford Fiesta,800,1750,M90 1QX,https://www.autotrader.co.uk/car-details/202303165316186,UB7 0AW,https://www.autotrader.co.uk/car-details/202304086086848,131900,85490,1.6,1.4,703.6976064117839,78.64065596912889,101.71230955234792
170,Vauxhall Astra,1395,1990,M90 1QX,https://www.autotrader.co.uk/car-details/202302094107733,UB7 0AW,https://www.autotrader.co.uk/car-details/202305227667443,106000,110978,1.8,1.6,700.8103655660377,220.12650566748772,136.54419573766478
41,Citroen Xsara Picasso,1385,1980,M90 1QX,https://www.autotrader.co.uk/car-details/202305247736750,UB7 0AW,https://www.autotrader.co.uk/car-details/202301253599710,59716,70000,1.6,1.6,697.4680152722889,125.03731529446405,567.2605188367799
10,Toyota Yaris,795,1990,M90 1QX,https://www.autotrader.co.uk/car-details/202305277845734,UB7 0AW,https://www.autotrader.co.uk/car-details/202305257793256,161090,87396,1.3,1.3,648.3221801477434,156.5507926388142,281.6373098183852
253,Vauxhall Corsa,1295,1999,M90 1QX,https://www.autotrader.co.uk/car-details/202305277854276,UB7 0AW,https://www.autotrader.co.uk/car-details/202303245599986,70000,64000,1.2,1.2,643.6571428571428,220.12650566748772,462.26163665146714
39,Citroen Xsara Picasso,1385,1975,M90 1QX,https://www.autotrader.co.uk/car-details/202305247736750,UB7 0AW,https://www.autotrader.co.uk/car-details/202305077116845,59716,64411,1.6,1.6,636.3870654430974,125.03731529446405,567.2605188367799
35,Renault Clio,1399,1999,M90 1QX,https://www.autotrader.co.uk/car-details/202305257782945,UB7 0AW,https://www.autotrader.co.uk/car-details/202304286789775,87319,101236,1.2,1.4,596.2531473267968,285.9524991609024,213.64356008902652
47,Ford Mondeo,1295,1999,M90 1QX,https://www.autotrader.co.uk/car-details/202208018350575,UB7 0AW,https://www.autotrader.co.uk/car-details/202301173323143,127000,107000,2.0,2.0,593.1338582677165,78.64065596912889,228.48284020325232
252,Vauxhall Corsa,1295,1690,M90 1QX,https://www.autotrader.co.uk/car-details/202305277854276,UB7 0AW,https://www.autotrader.co.uk/car-details/202304276758139,70000,102000,1.2,1.2,575.5714285714286,220.12650566748772,462.26163665146714
13,Toyota Avensis,800,1195,M90 1QX,https://www.autotrader.co.uk/car-details/202212072349302,UB7 0AW,https://www.autotrader.co.uk/car-details/202305267833802,129650,171657,2.2,2.0,575.2793405322021,156.5507926388142,-286.95084791402144
183,Honda Jazz,1490,1995,M90 1QX,https://www.autotrader.co.uk/car-details/202304276754483,UB7 0AW,https://www.autotrader.co.uk/car-details/202305267802784,105000,118043,1.4,1.4,567.730619047619,313.7737086229725,415.67070981416566
182,Honda Jazz,1490,1995,M90 1QX,https://www.autotrader.co.uk/car-details/202304276754483,UB7 0AW,https://www.autotrader.co.uk/car-details/202305267802784,105000,118043,1.4,1.4,567.730619047619,313.7737086229725,415.67070981416566
186,Honda Jazz,1490,1999,M90 1QX,https://www.autotrader.co.uk/car-details/202304276754483,UB7 0AW,https://www.autotrader.co.uk/car-details/202305087130465,105000,108123,1.4,1.3,564.4575076923077,313.7737086229725,415.67070981416566
250,Vauxhall Corsa,1295,1628,M90 1QX,https://www.autotrader.co.uk/car-details/202305277854276,UB7 0AW,https://www.autotrader.co.uk/car-details/202305247739361,70000,98729,1.2,1.0,563.6015485714286,220.12650566748772,462.26163665146714
251,Vauxhall Corsa,1295,1999,M90 1QX,https://www.autotrader.co.uk/car-details/202305277854276,UB7 0AW,https://www.autotrader.co.uk/car-details/202305016878565,70000,65000,1.2,1.4,560.326530612245,220.12650566748772,462.26163665146714
40,Citroen Xsara Picasso,1385,1740,M90 1QX,https://www.autotrader.co.uk/car-details/202305247736750,UB7 0AW,https://www.autotrader.co.uk/car-details/202301032926415,59716,94100,1.6,1.6,559.406189296001,125.03731529446405,567.2605188367799
51,Honda Civic,1399,1949,M90 1QX,https://www.autotrader.co.uk/car-details/202305207591777,UB7 0AW,https://www.autotrader.co.uk/car-details/202304156317199,145000,120000,2.2,1.8,556.3218390804598,313.7737086229725,107.84447473263704
55,Renault Megane,1500,1995,M90 1QX,https://www.autotrader.co.uk/car-details/202304206484950,UB7 0AW,https://www.autotrader.co.uk/car-details/202301123188623,75809,83800,1.4,1.4,547.1777757258374,285.9524991609024,350.0162706293547
153,Renault Clio,1495,1995,M90 1QX,https://www.autotrader.co.uk/car-details/202302204468804,UB7 0AW,https://www.autotrader.co.uk/car-details/202304186429384,84100,92000,1.2,1.2,546.9678953626635,285.9524991609024,213.64356008902652
172,Vauxhall Astra,1395,1890,M90 1QX,https://www.autotrader.co.uk/car-details/202302094107733,UB7 0AW,https://www.autotrader.co.uk/car-details/202302224540791,106000,104000,1.8,1.6,546.3679245283018,220.12650566748772,136.54419573766478
225,Renault Twingo,995,1700,M90 1QX,https://www.autotrader.co.uk/car-details/202305257788726,UB7 0AW,https://www.autotrader.co.uk/car-details/202301243575051,118000,91034,1.2,1.2,543.8895762711865,285.9524991609024,543.8895762711865
257,Vauxhall Corsa,1295,1999,M90 1QX,https://www.autotrader.co.uk/car-details/202305277854276,UB7 0AW,https://www.autotrader.co.uk/car-details/202304086098328,70000,51000,1.2,1.2,512.9142857142857,220.12650566748772,462.26163665146714
