,name_buy,price_buy,price_sell,postcode_buy,link_buy,postcode_sell,link_sell,mileage_buy,mileage_sell,engine_buy,engine_sell,buy_score,score_by_brand,score_by_name
49,Vauxhall Corsa,999,1995,NE1 5XE,https://www.autotrader.co.uk/car-details/202305087128197,UB7 0AW,https://www.autotrader.co.uk/car-details/202303255611280,60000,90000.0,1.0,1.0,1494.0,798.278036740131,776.8433409751037
59,Vauxhall Insignia,899,1990,NE1 5XE,https://www.autotrader.co.uk/car-details/202305117242540,UB7 0AW,https://www.autotrader.co.uk/car-details/202305197555102,87000,102000.0,1.8,1.8,1279.1034482758619,798.278036740131,1279.1034482758619
36,MINI Hatch,799,1999,NE1 5XE,https://www.autotrader.co.uk/car-details/202302244581090,UB7 0AW,https://www.autotrader.co.uk/car-details/202305207581725,117000,99000.0,1.4,1.4,1015.3846153846154,767.3623653846154,767.3623653846154
54,Vauxhall Corsa,800,1990,NE1 5XE,https://www.autotrader.co.uk/car-details/202303305777620,UB7 0AW,https://www.autotrader.co.uk/car-details/202305227658170,112000,85000.0,1.2,1.2,903.125,798.278036740131,776.8433409751037
58,Vauxhall Corsa,800,1795,NE1 5XE,https://www.autotrader.co.uk/car-details/202303305777620,UB7 0AW,https://www.autotrader.co.uk/car-details/202305097157276,112000,98000.0,1.2,1.2,870.625,798.278036740131,776.8433409751037
52,Vauxhall Corsa,800,1690,NE1 5XE,https://www.autotrader.co.uk/car-details/202303305777620,UB7 0AW,https://www.autotrader.co.uk/car-details/202304276758139,112000,102000.0,1.2,1.2,810.5357142857142,798.278036740131,776.8433409751037
48,Vauxhall Corsa,999,1698,NE1 5XE,https://www.autotrader.co.uk/car-details/202305087128197,UB7 0AW,https://www.autotrader.co.uk/car-details/202304136241426,60000,68181.0,1.0,1.0,794.30865,798.278036740131,776.8433409751037
37,MINI Hatch,799,1750,NE1 5XE,https://www.autotrader.co.uk/car-details/202302244581090,UB7 0AW,https://www.autotrader.co.uk/car-details/202305277859829,117000,92113.0,1.4,1.4,748.713358974359,767.3623653846154,767.3623653846154
38,MINI Hatch,799,1750,NE1 5XE,https://www.autotrader.co.uk/car-details/202302244581090,UB7 0AW,https://www.autotrader.co.uk/car-details/202305277859829,117000,92113.0,1.4,1.4,748.713358974359,767.3623653846154,767.3623653846154
56,Vauxhall Corsa,800,1499,NE1 5XE,https://www.autotrader.co.uk/car-details/202303305777620,UB7 0AW,https://www.autotrader.co.uk/car-details/202305277853417,112000,114000.0,1.2,1.2,711.4821428571428,798.278036740131,776.8433409751037
4,Nissan Note,999,1995,NE1 5XE,https://www.autotrader.co.uk/car-details/202305197545662,UB7 0AW,https://www.autotrader.co.uk/car-details/202303135202234,95381,67000.0,1.4,1.4,699.63619588807,422.43219125667355,644.5101531957824
53,Vauxhall Corsa,800,1999,NE1 5XE,https://www.autotrader.co.uk/car-details/202303305777620,UB7 0AW,https://www.autotrader.co.uk/car-details/202303245599986,112000,64000.0,1.2,1.2,685.1428571428571,798.278036740131,776.8433409751037
3,Nissan Note,999,1495,NE1 5XE,https://www.autotrader.co.uk/car-details/202305197545662,UB7 0AW,https://www.autotrader.co.uk/car-details/202305227661138,95381,113125.0,1.4,1.4,588.2722974177246,422.43219125667355,644.5101531957824
62,Vauxhall Astra,1400,1990,NE1 5XE,https://www.autotrader.co.uk/car-details/202305237693492,UB7 0AW,https://www.autotrader.co.uk/car-details/202305177487712,131068,130000.0,1.4,1.4,585.1924192022461,798.278036740131,585.1924192022461
